"WAVELENGTH (MICRONS)" "FLUX (ERG/CM2/S/A)"
2.181338113e-01 1.0957715e-02
2.181774380e-01 7.8509750e-03
2.182210735e-01 4.2359643e-03
2.182647177e-01 3.1557132e-03
2.183083707e-01 2.0752461e-03
2.183520324e-01 3.5974763e-03
2.183957028e-01 8.1909087e-03
2.184393819e-01 1.1207194e-02
2.184830698e-01 6.4631011e-03
2.185267664e-01 1.0712690e-03
2.185704718e-01 1.7265740e-03
2.186141858e-01 1.9144224e-03
2.186579087e-01 3.7176309e-03
2.187016403e-01 5.5212000e-03
2.187453806e-01 6.8722368e-03
2.187891297e-01 7.1957525e-03
2.188328875e-01 7.7301924e-03
2.188766541e-01 1.8452273e-02
2.189204294e-01 3.5267822e-02
2.189642135e-01 2.2944116e-02
2.190080063e-01 1.0617946e-02
2.190518079e-01 3.2371204e-03
2.190956183e-01 1.8493759e-03
2.191394374e-01 9.8593599e-04
2.191832653e-01 2.3225599e-03
2.192271020e-01 2.4820155e-03
2.192709474e-01 1.7063060e-02
2.193148016e-01 3.5711768e-02
2.193586645e-01 3.9291907e-02
2.194025363e-01 4.2872762e-02
2.194464168e-01 3.9780951e-02
2.194903061e-01 2.4365104e-02
2.195342041e-01 9.8929426e-03
2.195781110e-01 7.4447542e-03
2.196220266e-01 3.9402780e-03
2.196659510e-01 6.6591855e-03
2.197098842e-01 1.2107226e-02
2.197538262e-01 9.1490343e-03
2.197977769e-01 6.1902512e-03
2.198417365e-01 4.0614821e-03
2.198857048e-01 4.5030386e-03
2.199296820e-01 4.9623798e-03
2.199736679e-01 4.8135446e-03
2.200176626e-01 4.1377589e-03
2.200616662e-01 5.7273161e-03
2.201056785e-01 7.3171912e-03
2.201496996e-01 8.5968339e-03
2.201937296e-01 9.4561266e-03
2.202377683e-01 9.8302804e-03
2.202818159e-01 7.5315619e-03
2.203258722e-01 4.9787444e-03
2.203699374e-01 4.8587418e-03
2.204140114e-01 4.2357471e-03
2.204580942e-01 5.4208207e-03
2.205021858e-01 6.6061313e-03
2.205462863e-01 8.3708706e-03
2.205903955e-01 1.1227942e-02
2.206345136e-01 1.3393062e-02
2.206786405e-01 7.5539529e-03
2.207227762e-01 6.2206080e-04
2.207669208e-01 6.4031281e-04
2.208110742e-01 -3.0873588e-03
2.208552364e-01 5.2331085e-03
2.208994074e-01 1.3555240e-02
2.209435873e-01 1.7453020e-02
2.209877760e-01 1.0240608e-02
2.210319736e-01 3.2083570e-03
2.210761800e-01 4.2389407e-03
2.211203952e-01 9.1519790e-04
2.211646193e-01 2.0105459e-02
2.212088522e-01 3.9299557e-02
2.212530940e-01 4.2908767e-02
2.212973446e-01 3.0888883e-02
2.213416041e-01 2.2553885e-02
2.213858724e-01 2.5922350e-02
